text,location,phase
4526 new covid 19 cases recorded tamilnadu today 1078 chennai cases today 4743 discharge 67 death coronavirusindia covidupdates coronavirus tncoronavirusupdatecovid 19 tamilnadu chennai coronavirusindia covidupdates coronavirus tncoronavirusupdate,chennai,2
tamil nadu chief minister eps officials office tests negative coronavirus,chennai,2
4328 new covid 19 cases recorded tamilnadu today 1140 chennai cases today discharge 3035 66 death toll 16 private 50 govt total death crosses 2000 coronavirusindia covidupdates coronavirus tncoronavirusupdatecovid 19 tamilnadu chennai coronavirusindia covidupdates coronavirus tncoronavirusupdate,chennai,2
mysuru reports three digit single day spike covid19 cases district reported 125 fresh coronavirus cases 4 deaths today total tally mysuru crosses 1000 mark total cases 1091 active 552 discharged 498 deaths 41 xpressbengalurumysuru covid19 coronavirus mysuru,bangalore,2
covid19 patients looking go viral need prayers good wishes recovery heartfelt wecome curewithkindness covid coronavirus covid19india precausionarymeasures stayhomestaysafe maintaindistance socialdistancing breakthechain sunvikprayers recovery curewithkindness covid coronavirus covid19india precausionarymeasures stayhomestaysafe maintaindistance socialdistancing breakthechain sunvik,bangalore,2
india pharmacy world considered top country development vaccines 60 share world markets far coronavirus vaccineswork concerned icmr hurry get fast track mode develop covid19 vaccinecoronavirus vaccineswork covid19,hyderabad,2
corona cases india india india smiling face smiling eyes slowing smiling face smiling eyes covid19 coronavirus coronavaccinecorona covid19 coronavirus coronavaccine,hyderabad,2
agree corresponding tests done 33telanganadistricts coronavirus reaching villages dangerous turn need protect farmers33telanganadistricts coronavirus,hyderabad,2
pushing cart vendor selling sanitiser masks apart regular items covid19 covidupdates coronavirus secuderabad god please get back normalcycovid19 covidupdates coronavirus secuderabad,hyderabad,2
insanity must stop black small square selector black small square selector black small square selector black small square selector black small square selector black small square selector black small square selector black small square selector black small square selector black small square selector black small square selector hospitals begin sending coronavirus related information directly department health human services hhs centers… https www instagram com p cco2hi3nhtm2rvmls04pxdiqrayw9fmrl9l84c0 igshid vk6vvwk27ps8,mumbai,2
coronavirus vasai 209 new cases day 85 discharge hp live news https youtu w01 410oxw4 via youtube vasainews vasai virar wearevasai mbbarot69,mumbai,2
panvel extended coronavirus lockdown till july 24 announces pmc news,mumbai,2
true oneworldoneflag covid19 wearmask coronavirusoneworldoneflag covid19 wearmask coronavirus,delhi,2
